id_row,Country Code ISO3,Trade,Year,Amount,Product Classification EN,Country,Region,Latitude,Longitude
49,NA,Import,2022,0.0,Animals and Products,Melilla,Africa,0.0,0.0
50,NA,Export,2022,0.0,Vegetable Products,Canary Islands,Europe,0.0,0.0
51,NA,Import,2022,0.0,Vegetable Products,Canary Islands,Europe,0.0,0.0
52,NA,Export,2022,0.0,Vegetable Products,Ceuta and Melilla,Africa,0.0,0.0
53,NA,Import,2022,0.0,Vegetable Products,Ceuta and Melilla,Africa,0.0,0.0
54,NA,Import,2022,0.0,Vegetable Products,Ceuta and Melilla,Africa,0.0,0.0
55,NA,Import,2022,0.0,Vegetable Products,Ceuta and Melilla,Africa,0.0,0.0
56,NA,Export,2022,0.0,Vegetable Products,Melilla,Africa,0.0,0.0
57,NA,Import,2022,0.0,Vegetable Products,Melilla,Africa,0.0,0.0
58,NA,Export,2022,0.0,Fats and Oils,Canary Islands,Europe,0.0,0.0
59,NA,Import,2022,0.0,Fats and Oils,Canary Islands,Europe,0.0,0.0
60,NA,Export,2022,0.0,Fats and Oils,Ceuta and Melilla,Africa,0.0,0.0
61,NA,Import,2022,0.0,Fats and Oils,Ceuta and Melilla,Africa,0.0,0.0
62,NA,Import,2022,0.0,Fats and Oils,Ceuta and Melilla,Africa,0.0,0.0
63,NA,Import,2022,0.0,Fats and Oils,Ceuta and Melilla,Africa,0.0,0.0
64,NA,Export,2022,0.0,Fats and Oils,Melilla,Africa,0.0,0.0
65,NA,Import,2022,0.0,Fats and Oils,Melilla,Africa,0.0,0.0
66,NA,Export,2022,0.0,"Beverages, Spirits, Tobacco",Canary Islands,Europe,0.0,0.0
67,NA,Import,2022,0.0,"Beverages, Spirits, Tobacco",Canary Islands,Europe,0.0,0.0
68,NA,Export,2022,0.0,"Beverages, Spirits, Tobacco",Ceuta and Melilla,Africa,0.0,0.0
69,NA,Import,2022,0.0,"Beverages, Spirits, Tobacco",Ceuta and Melilla,Africa,0.0,0.0
70,NA,Import,2022,0.0,"Beverages, Spirits, Tobacco",Ceuta and Melilla,Africa,0.0,0.0
71,NA,Import,2022,0.0,"Beverages, Spirits, Tobacco",Ceuta and Melilla,Africa,0.0,0.0
72,NA,Export,2022,0.0,"Beverages, Spirits, Tobacco",Melilla,Africa,0.0,0.0
73,NA,Import,2022,0.0,"Beverages, Spirits, Tobacco",Melilla,Africa,0.0,0.0
