id_row,Date,New Business Type,Loan Type,Loan Duration,Other,Rate,Amount
947,201003,Households,Loans for consumption,Over 5 years,NA,4.25,13.0
948,201003,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,0.360000014305115,1662.0
949,201003,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,3.74000000953674,72.0
950,201003,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
951,201003,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,1.76999998092651,1670.0
952,201003,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,2.3199999332428,1307.0
953,201003,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,1.92999994754791,9367.0
954,201003,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
955,201003,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
956,201003,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,2.0,276.0
957,201004,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,0.330000013113022,22182.0
958,201004,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,2.38000011444092,1064.0
959,201004,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
960,201004,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,1.87000000476837,7234.0
961,201004,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,1.98000001907349,234.0
962,201004,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,0.409999996423721,1625.0
963,201004,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,3.89000010490417,59.0
964,201004,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,1.70000004768372,1471.0
965,201004,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
966,201004,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
967,201004,Households,Loans for consumption,Over 5 years,NA,4.32000017166138,11.0
968,201005,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
